²;N;Operator;Vernacular;TreeID;SampleID;ID TRY;ScientificName;Family;genus;species;RDMC ;RootAverageLenght ;Rootdryweight;Rootfreshweight;RSL;WD;BarkTh;DBH;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness;SPAD
1;NA;Marco;Acajou blanc;A;1;NA;Khaya anthotheca ;Meliaceae;Khaya;anthotheca;437828;4,994;;;0,011;0,4906364;0,54;135;28,8;0,27;189342;33,44;275100;82279;2,301214;2;1,5;65,7
2;NA;Marco;Acajou blanc;A;2;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;454890;5,215;;;0,011;0,4906364;0,5;135;25,7;0,27;93819;18,75;122800;65493;1,432501;2;1,5;60,9
3;NA;Marco;Acajou blanc;A;3;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;476611;3,647;;;0,008;0,4906364;0,52;135;32,5;0,24;81490;12,14;85700;70593;1,154366;2;1,5;66
4;NA;Marco;Acajou blanc;B;1;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;489784;2,591;;;0,005;0,4906364;0,61;110;16,6;0,25;58702;8,78;66100;75285;0,779726;2;1,5;40,8
5;NA;Marco;Acajou blanc;B;2;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;487635;3,43;;;0,007;0,4906364;0,78;110;24,1;0,24;134384;18,51;127200;68738;1,955018;2;1,5;37
6;NA;Marco;Acajou blanc;B;3;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;458225;2,55;;;0,006;0,4906364;0,7;110;21,3;0,23;106235;15,84;111300;70287;1,511442;2;1,5;38,8
7;NA;Marco;Acajou blanc;C;1;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;441860;3,231;;;0,007;0,4906364;0,54;230;12,8;0,26;54273;8,86;63250;71388;0,760252;2;1,5;33
8;NA;Marco;Acajou blanc;C;2;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;389831;3,707;;;0,01;0,4906364;0,56;230;14,7;0,29;80405;13,41;84950;63372;1,268777;2;1,5;25,2
9;NA;Marco;Acajou blanc;C;3;NA;Khaya anthotheca;Meliaceae;Khaya;anthotheca;250000;5,534;;;0,022;0,4906364;0,53;230;13,9;0,28;112911;20,36;105300;51719;2,183151;2;1,5;26,1
10;NA;Marco;Ako;A;1;NA;Antiaris africana;Moraceae;Antiaris;africana;332971;3,203;;;0,01;0,3815263;2,2;1007;0,9;0,53;6318;1,16;8600;74042;0,085334;3;1;49,7
11;NA;Marco;Ako;A;2;NA;Antiaris africana;Moraceae;Antiaris;africana;361446;3,089;;;0,009;0,3815263;1,9;1007;0,4;0,63;7145;1,45;10600;73250;0,097537;3;1;47,4
12;NA;Marco;Ako;A;3;NA;Antiaris africana;Moraceae;Antiaris;africana;404040;2,428;;;0,006;0,3815263;1,8;1007;0,8;0,49;7078;1,38;10200;74182;0,095407;3;1;53,6
13;NA;Marco;Ako;B;1;NA;Antiaris africana;Moraceae;Antiaris;africana;218598;2,657;;;0,012;0,3815263;1;248;1,4;0,59;12482;2,77;10843;39193;0,318486;3;1;43,9
14;NA;Marco;Ako;B;2;NA;Antiaris africana;Moraceae;Antiaris;africana;276283;3,02;;;0,011;0,3815263;0,83;248;0,7;0,55;5041;1,54;6320;40950;0,123091;3;1;45,9
15;NA;Marco;Ako;B;3;NA;Antiaris africana;Moraceae;Antiaris;africana;278481;2,816;;;0,01;0,3815263;0,9;248;0,8;0,49;3858;1,14;4187;36618;0,105362;3;1;45,2
16;NA;Marco;Ako;C;1;NA;Antiaris africana;Moraceae;Antiaris;africana;346996;3,892;;;0,011;0,3815263;1,21;429;0,8;0,53;6250;1,39;5798;41859;0,149309;3;1;54
17;NA;Marco;Ako;C;2;NA;Antiaris africana;Moraceae;Antiaris;africana;291545;3,168;;;0,011;0,3815263;1,67;429;0,8;0,55;7709;1,76;6675;38034;0,202674;3;1;56,5
18;NA;Marco;Ako;C;3;NA;Antiaris africana;Moraceae;Antiaris;africana;370370;3,15;;;0,009;0,3815263;1,6;429;0,9;0,57;5130;1,32;5573;42296;0,121299;3;1;53,2
19;NA;Marco;Asamoiake;A;1;NA;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;230769;2,068;;;0,009;0,663;0,67;357;7,1;0,25;15313;3,13;13360;42711;0,358519;3;2;57,1
20;NA;Marco;Asamoiake;A;2;NA;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;327586;2,683;;;0,008;0,663;0,65;357;6,3;0,25;12794;2,51;10400;41467;0,308525;3;2;60,5
21;NA;Marco;Asamoiake;A;3;NA;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;275362;3,098;;;0,011;0,663;0,56;357;6,8;0,24;16203;3,17;13400;42298;0,383057;3;2;54,7
22;NA;Marco;Asamoiake;B;1;NA;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;235294;1,708;;;0,007;0,663;0,39;190;7,5;0,23;17664;3,01;11320;37583;0,470003;3;2;57,8
23;NA;Marco;Asamoiake;B;2;NA;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;244898;2,469;;;0,01;0,663;0,39;190;5,1;0,21;14387;2,74;11740;42815;0,336014;3;2;53,5
24;NA;Marco;Asamoiake;B;3;NA;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;277778;3,293;;;0,012;0,663;0,41;190;6,2;0,23;12674;2,06;8275;40121;0,315904;3;2;59,3
25;NA;Marco;Asamoiake;C;1;NA;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;250000;2,882;;;0,012;0,663;0,38;224;4,3;0,21;11743;1,81;6060;33555;0,349977;3;2;58,1
26;NA;Marco;Asamoiake;C;2;NA;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;263158;1,77;;;0,007;0,663;0,54;224;5,7;0,24;23234;4,35;16550;38046;0,610695;3;2;62,8
27;NA;Marco;Asamoiake;C;3;NA;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;3,00E+05;3,888;;;0,013;0,663;0,46;224;5,9;0,24;21987;3,33;16075;48331;0,454932;3;2;58,1
28;NA;Marco;Ba;A;1;NA;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;402414;3,25;;;0,008;0,6175714;0,34;205;1;0,28;3762;0,39;2771;70808;0,053128;3;1,5;68,9
29;NA;Marco;Ba;A;2;NA;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;396855;4,108;;;0,01;0,6175714;0,39;205;0,8;0,28;2434;0,27;1700;62546;0,038912;3;1,5;59,1
30;NA;Marco;Ba;A;3;NA;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;368732;3,843;;;0,01;0,6175714;0,32;205;1;0,28;3250;0,38;2614;69431;0,046813;3;1,5;61,4
31;NA;Marco;Ba;B;1;NA;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;421830;3,245;;;0,008;0,6175714;0,3;140;0,8;0,27;5907;0,93;3944;42219;0,139906;3;1,5;42,6
32;NA;Marco;Ba;B;2;NA;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;459459;2,29;;;0,005;0,6175714;0,35;140;0,9;0,26;8982;1,26;3913;31171;0,288156;3;1,5;53,9
33;NA;Marco;Ba;B;3;NA;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;468683;2,886;;;0,006;0,6175714;0,28;140;0,9;0,27;7744;1,26;4157;32980;0,234814;3;1,5;39,8
34;NA;Marco;Ba;C;1;NA;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;387097;3,082;;;0,008;0,6175714;0,57;155;1,2;0,21;8796;1,1;3100;28311;0,310694;3;1,5;26,3
35;NA;Marco;Ba;C;2;NA;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;372093;1,883;;;0,005;0,6175714;0,45;155;1,1;0,26;7526;1,42;5133;36278;0,207464;3;1,5;47,5
36;NA;Marco;Ba;C;3;NA;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;377778;3,172;;;0,008;0,6175714;0,5;155;0,6;0,27;3332;0,59;1967;33239;0,100243;3;1,5;53,6
37;NA;Marco;Bete;A;1;NA;Mansonia altissima;Sterculiaceae;Mansonia;altissima;348086;2,493;;;0,007;0,5644583;1,24;250;3;0,44;39039;4,46;29600;66368;0,588215;2;2;33,4
38;NA;Marco;Bete;A;2;NA;Mansonia altissima;Sterculiaceae;Mansonia;altissima;452148;0,827;;;0,002;0,5644583;0,7;250;1,9;0,42;23541;3,2;18500;57813;0,407203;2;2;34,7
39;NA;Marco;Bete;A;3;NA;Mansonia altissima;Sterculiaceae;Mansonia;altissima;471730;2,169;;;0,005;0,5644583;1,26;213;4;0,42;40070;4,7;30300;64468;0,621546;2;2;34
40;NA;Marco;Bete;B;1;NA;Mansonia altissima;Sterculiaceae;Mansonia;altissima;451926;3,131;;;0,007;0,5644583;1,2;213;1,8;0,4;16648;2,8;14300;51071;0,325977;2;2;35,9
41;NA;Marco;Bete;B;2;NA;Mansonia altissima;Sterculiaceae;Mansonia;altissima;537201;1,812;;;0,003;0,5644583;1,28;213;4,3;0,5;26235;3,11;17900;57556;0,455813;2;2;38,6
42;NA;Marco;Bete;B;3;NA;Mansonia altissima;Sterculiaceae;Mansonia;altissima;406056;5,942;;;0,015;0,5644583;1,52;217;2,7;0,42;36489;3,92;24900;63520;0,574442;2;2;36,5
43;NA;Marco;Bete;C;1;NA;Mansonia altissima;Sterculiaceae;Mansonia;altissima;550863;2,331;;;0,004;0,5644583;1,37;217;5,5;0,4;52845;4,5;28900;64222;0,822844;2;2;30,2
44;NA;Marco;Bete;C;2;NA;Mansonia altissima;Sterculiaceae;Mansonia;altissima;632366;4,769;;;0,008;0,5644583;1,55;217;4;0,38;48658;4,3;30500;70930;0,685995;2;2;28,9
45;NA;Marco;Bete;C;3;NA;Mansonia altissima;Sterculiaceae;Mansonia;altissima;381443;4,409;;;0,012;0,5644583;1,55;250;1,6;0,44;24255;2,7;17300;64074;0,378552;2;2;31,5
46;NA;Marco;Bi ou Eyong;A;1;NA;Eribroma obloga;Sterculiaceae;Eribroma;oblongum;210526;3,203;;;0,015;0,6384545;1,14;198;1,6;0,42;4093;1,05;3460;33078;0,123733;3;1;32,1
47;NA;Marco;Bi ou Eyong;A;2;NA;Eribroma obloga;Sterculiaceae;Eribroma;oblongum;192308;1,861;;;0,01;0,6384545;1,24;198;3,7;0,42;7128;1,56;5367;34328;0,207649;3;1;51,7
48;NA;Marco;Bi ou Eyong;A;3;NA;Eribroma obloga;Sterculiaceae;Eribroma;oblongum;379310;0,827;;;0,002;0,6384545;0,92;198;2,9;0,42;5978;1,84;6114;33204;0,180033;3;1;36,6
49;NA;Marco;Bi ou Eyong;B;1;NA;Eribroma obloga;Sterculiaceae;Eribroma;oblongum;434783;1,838;;;0,004;0,6384545;0,8;182;2,5;0,2;5322;0,86;2200;25641;0,20756;3;1;53,4
50;NA;Marco;Bi ou Eyong;B;2;NA;Eribroma obloga;Sterculiaceae;Eribroma;oblongum;317757;2,089;;;0,007;0,6384545;1;182;2;0,23;2931;0,49;2260;46502;0,063025;3;1;51,5
51;NA;Marco;Bi ou Eyong;B;3;NA;Eribroma obloga;Sterculiaceae;Eribroma;oblongum;273504;3,416;;;0,012;0,6384545;1,15;182;2,4;0,21;4436;0,73;3300;45205;0,09814;3;1;43,4
52;NA;Marco;Bi ou Eyong;C;1;NA;Eribroma obloga;Sterculiaceae;Eribroma;oblongum;228261;1,301;;;0,006;0,6384545;0,76;201;2,5;0,26;4270;1;4800;48000;0,088948;3;1;36,6
53;NA;Marco;Bi ou Eyong;C;2;NA;Eribroma obloga;Sterculiaceae;Eribroma;oblongum;282353;1,974;;;0,007;0,6384545;0,89;201;2,1;0,26;4107;0,9;4475;50000;0,082138;3;1;47,4
54;NA;Marco;Bi ou Eyong;C;3;NA;Eribroma obloga;Sterculiaceae;Eribroma;oblongum;261905;1,744;;;0,007;0,6384545;1,01;201;2,9;0,24;6111;1,25;6200;49442;0,123596;3;1;40,7
55;NA;Marco;Cedrela;A;1;44958;Cedrela odorata;Meliaceae;Cedrela;odorata;252874;2,668;;;0,011;0,4468571;1,82;392;12,2;0,21;80084;13,45;56080;41695;1,920704;2;1;36,3
56;NA;Marco;Cedrela;A;2;NA;Cedrela odorata;Meliaceae;Cedrela;odorata;218182;3,329;;;0,015;0,4468571;1,64;392;11,7;0,25;49101;8,47;31360;37025;1,326156;2;1;40
57;NA;Marco;Cedrela;A;3;NA;Cedrela odorata;Meliaceae;Cedrela;odorata;231293;3,54;;;0,015;0,4468571;1,52;392;6;0,22;23964;4,74;20480;43189;0,554866;2;1;36,3
58;NA;Marco;Cedrela;B;1;NA;Cedrela odorata;Meliaceae;Cedrela;odorata;253731;4,097;;;0,016;0,4468571;2,15;417;10;0,24;53265;7,99;35160;44005;1,210432;2;1;27,5
59;NA;Marco;Cedrela;B;2;NA;Cedrela odorata;Meliaceae;Cedrela;odorata;241573;4,962;;;0,021;0,4468571;1,75;417;8,6;0,22;33090;6,75;24440;36197;0,914183;2;1;41,8
60;NA;Marco;Cedrela;B;3;NA;Cedrela odorata;Meliaceae;Cedrela;odorata;239437;3,084;;;0,013;0,4468571;1,38;417;9,1;0,23;46269;8,77;34840;39708;1,165226;2;1;37,4
61;NA;Marco;Cedrela;C;1;NA;Cedrela odorata;Meliaceae;Cedrela;odorata;250000;1,432;;;0,006;0,4468571;2,24;230;7,7;0,24;26045;5,46;21280;38946;0,668739;2;1;37,3
62;NA;Marco;Cedrela;C;2;NA;Cedrela odorata;Meliaceae;Cedrela;odorata;220183;3,434;;;0,016;0,4468571;2,09;230;7,9;0,24;49154;11,09;41700;37601;1,307245;2;1;39,7
63;NA;Marco;Cedrela;C;3;NA;Cedrela odorata;Meliaceae;Cedrela;odorata;250000;1,95;;;0,008;0,4468571;2,25;230;6,7;0,25;27368;6,09;26625;43737;0,625729;2;1;41,5
64;NA;Marco;Frake / Limba;A;1;53769;Terminalia superba;Combretaceae;Terminalia;superba;431916;3,327;;;0,008;0,4589483;0,76;720;2,3;0,29;2911;0,33;2667;80000;0,036385;2;1;41,4
65;NA;Marco;Frake / Limba;A;2;NA;Terminalia superba;Combretaceae;Terminalia;superba;486957;3,262;;;0,007;0,4589483;0,84;720;2,4;0,29;3817;0,45;3380;74822;0,051011;2;1;43,8
66;NA;Marco;Frake / Limba;A;3;NA;Terminalia superba;Combretaceae;Terminalia;superba;447883;2,674;;;0,006;0,4589483;0,84;720;2,9;0,29;4557;0,49;3740;76461;0,059604;2;1;39,2
67;NA;Marco;Frake / Limba;B;1;NA;Terminalia superba;Combretaceae;Terminalia;superba;285714;1,36;;;0,005;0,4589483;0,76;500;3,8;0,31;3901;0,85;3540;41844;0,093224;2;1;52,5
68;NA;Marco;Frake / Limba;B;2;NA;Terminalia superba;Combretaceae;Terminalia;superba;250000;2,948;;;0,012;0,4589483;1;500;4;0,36;5803;1,31;5800;44140;0,131462;2;1;50,9
69;NA;Marco;Frake / Limba;B;3;NA;Terminalia superba;Combretaceae;Terminalia;superba;218750;2,655;;;0,012;0,4589483;0,91;500;3,5;0,32;4067;0,83;3540;42651;0,095345;2;1;53,1
70;NA;Marco;Frake / Limba;C;1;NA;Terminalia superba;Combretaceae;Terminalia;superba;413881;4,354;;;0,011;0,4589483;0,6;175;1;0,35;5210;1,4;5088;36430;0,143003;2;1;55,9
71;NA;Marco;Frake / Limba;C;2;NA;Terminalia superba;Combretaceae;Terminalia;superba;474289;5,551;;;0,012;0,4589483;0,6;175;1,2;0,32;5369;1,24;5213;41901;0,128142;2;1;54,4
72;NA;Marco;Frake / Limba;C;3;NA;Terminalia superba;Combretaceae;Terminalia;superba;418605;3,258;;;0,008;0,4589483;0,52;175;1,1;0,33;5502;1,32;5488;41564;0,132365;2;1;52,5
73;NA;Marco;Fromager;A;1;203745;Ceiba pentadra;Bombacaceae;Ceiba;pentandra;264831;1,807;;;0,007;0,3568212;2,5;1050;8,7;0,23;12732;2,8;12729;45492;0,279879;2;1;29,5
74;NA;Marco;Fromager;A;2;NA;Ceiba pentadra;Bombacaceae;Ceiba;pentandra;678461;3,758;;;0,006;0,3568212;2,3;1050;7,7;0,23;9260;2,08;10286;49528;0,186969;2;1;36,6
75;NA;Marco;Fromager;A;3;NA;Ceiba pentadra;Bombacaceae;Ceiba;pentandra;744823;2,79;;;0,004;0,3568212;2,2;861;13,8;0,21;20825;2,6;18300;70385;0,295879;2;1;40,8
76;NA;Marco;Fromager;B;1;NA;Ceiba pentadra;Bombacaceae;Ceiba;pentandra;779302;3,633;;;0,005;0,3568212;1,81;861;13,5;0,21;18062;2,52;17200;68254;0,264622;2;1;34
77;NA;Marco;Fromager;B;2;NA;Ceiba pentadra;Bombacaceae;Ceiba;pentandra;522618;3,875;;;0,007;0,3568212;2,4;861;14,3;0,22;33917;4,3;31700;73721;0,460078;2;1;44,2
78;NA;Marco;Fromager;B;3;NA;Ceiba pentadra;Bombacaceae;Ceiba;pentandra;233957;2,388;;;0,01;0,3568212;2,1;1023;10,5;0,24;18324;4,02;16914;42060;0,435675;2;1;31,2
79;NA;Marco;Fromager;C;1;NA;Ceiba pentadra;Bombacaceae;Ceiba;pentandra;273224;1,953;;;0,007;0,3568212;1,72;1023;9,7;0,23;17419;4,2;18514;44066;0,395299;2;1;40,6
80;NA;Marco;Fromager;C;2;NA;Ceiba pentadra;Bombacaceae;Ceiba;pentandra;263231;1,632;;;0,006;0,3568212;1,6;1023;13,7;0,23;23134;5,2;21443;41260;0,560684;2;1;42,4
81;NA;Marco;Fromager;C;3;NA;Ceiba pentadra;Bombacaceae;Ceiba;pentandra;804875;1,528;;;0,002;0,3568212;2,3;1050;12,1;0,21;15687;3,16;12914;40822;0,38429;2;1;42,2
82;NA;Marco;Kaka;A;1;13857;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;456522;1,606;;;0,004;0,78575;1,55;900;1,7;0,34;18078;4,03;18680;46375;0,389823;3;2;30,6
83;NA;Marco;Kaka;A;2;NA;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;451613;2,197;;;0,005;0,78575;1,35;900;2;0,36;41707;8,81;45360;51510;0,809681;3;2;37
84;NA;Marco;Kaka;A;3;NA;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;5,00E+05;2,223;;;0,004;0,78575;1,63;900;1,6;0,35;28801;6,33;31450;49684;0,579677;3;2;36,4
85;NA;Marco;Kaka;B;1;NA;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;493827;1,967;;;0,004;0,78575;0,9;402;3,1;0,29;13059;2,32;10425;44984;0,290309;3;2;45,9
86;NA;Marco;Kaka;B;2;NA;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;592593;1,82;;;0,003;0,78575;0,82;402;2;0,3;5406;1,02;4550;44828;0,120597;3;2;40,1
87;NA;Marco;Kaka;B;3;NA;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;529412;1,402;;;0,003;0,78575;0,65;402;2,4;0,31;7303;1,38;6125;44545;0,163934;3;2;48,4
88;NA;Marco;Kaka;C;1;NA;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;3,00E+05;3,645;;;0,012;0,78575;0,77;113;3,5;0,34;27257;5,15;24400;47379;0,575291;3;2;49
89;NA;Marco;Kaka;C;2;NA;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;211538;1,253;;;0,006;0,78575;0,8;113;1,5;0,34;32195;6,04;26600;44040;0,73104;3;2;32,8
90;NA;Marco;Kaka;C;3;NA;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;333333;2,201;;;0,007;0,78575;0,7;113;3,9;0,36;26729;5,06;22400;44269;0,603796;3;2;30,9
91;NA;Marco;Koace Noliba;A;1;31756;Pachystela brevipes;Sapotaceae;Pachystela;brevipes;358974;1,775;;;0,005;0,4763896;0,34;112;6,8;0,26;24769;3,88;15140;39041;0,634443;3;2;
92;NA;Marco;Koace Noliba;A;2;NA;Pachystela brevipes;Sapotaceae;Pachystela;brevipes;390244;1,601;;;0,004;0,4763896;0,39;112;5,7;0,24;20164;3,37;13500;40036;0,503661;3;2;
93;NA;Marco;Koace Noliba;A;3;NA;Pachystela brevipes;Sapotaceae;Pachystela;brevipes;392857;2,097;;;0,005;0,4763896;0,37;112;7,4;0,27;19804;3,98;15200;38172;0,518821;3;2;
94;NA;Marco;Koace Noliba;B;1;NA;Pachystela brevipes;Sapotaceae;Pachystela;brevipes;280899;2,184;;;0,008;0,4763896;0,37;152;5,5;0,28;13452;3,18;11760;36958;0,363983;3;2;
95;NA;Marco;Koace Noliba;B;2;NA;Pachystela brevipes;Sapotaceae;Pachystela;brevipes;357143;1,745;;;0,005;0,4763896;0,33;152;6,5;0,27;16689;3,93;14460;36794;0,45358;3;2;
96;NA;Marco;Koace Noliba;B;3;NA;Pachystela brevipes;Sapotaceae;Pachystela;brevipes;157895;2,661;;;0,017;0,4763896;0,42;152;7,1;0,26;25253;5,39;18880;35002;0,721482;3;2;
97;NA;Marco;Koace Noliba;C;1;NA;Pachystela brevipes;Sapotaceae;Pachystela;brevipes;277778;1,995;;;0,007;0,4763896;0,55;156;6,9;0,24;22218;3,68;13380;36378;0,610757;3;2;
98;NA;Marco;Koace Noliba;C;2;NA;Pachystela brevipes;Sapotaceae;Pachystela;brevipes;384615;1,78;;;0,005;0,4763896;0,28;156;5,3;0,24;11007;1,92;7040;36629;0,30051;3;2;
99;NA;Marco;Koace Noliba;C;3;NA;Pachystela brevipes;Sapotaceae;Pachystela;brevipes;325581;1,413;;;0,004;0,4763896;0,47;156;4,8;0,26;16915;3,19;11375;35686;0,473992;3;2;
100;NA;Marco;Kotibe;A;1;54777;Nesogordonia papaverifera;Sterculiaceae;Nesogordonia;papaverifera;625733;0,796;;;0,001;0,645;0,47;275;2,4;0,22;2764;0,39;2063;52391;0,052753;2;2;43,6
