Slice,Count,Total Area,Average Size,%Area
Aboudikro 1 R1 001,9,185.000,20.556,0.285
Aboudikro 1 R2 001,9,722.068,80.230,1.110
Aboudikro 1 R3 001,8,1769.145,221.143,2.721
Aboudikro 2 R1 001,4,329.574,82.393,0.507
Aboudikro 2 R2 001,11,669.307,60.846,1.029
Aboudikro 2 R3 001,5,279.086,55.817,0.429
Aboudikro 3 R1 001,3,749.847,249.949,1.153
Aboudikro 3 R2 001,4,1368.291,342.073,2.104
Aboudikro 3 R3 001,3,697.659,232.553,1.073
Adaschia 1 R1 001,4,686.779,171.695,1.056
Adaschia 1 R2 001,6,1001.203,166.867,1.540
Adaschia 1 R3 001,3,2148.797,716.266,3.305
Adaschia 2 R1 001,5,2352.136,470.427,3.617
Adaschia 2 R2 001,13,1623.426,124.879,2.497
Adaschia 2 R3 001,8,3926.923,490.865,6.039
Adaschia 3 R1 001,14,3509.872,250.705,5.398
Adaschia 3 R2 001,21,2332.177,111.056,3.587
Adaschia 3 R3 001,13,2349.846,180.757,3.614
Akatio 1 R1 001,7,720.121,102.874,1.107
Akatio 1 R2 001,3,384.085,128.028,0.591
Akatio 1 R3 001,6,567.449,94.575,0.873
Akatio 2 R1 001,6,1331.399,221.900,2.048
Akatio 2 R2 001,8,658.722,82.340,1.013
Akatio 2 R3 001,7,594.607,84.944,0.914
Akatio 3 R1 001,8,1119.699,139.962,1.722
Akatio 3 R2 001,7,1200.600,171.514,1.846
Akatio 3 R3 001,11,1066.987,96.999,1.641
Akossika 1 R1 001,4,706.101,176.525,1.086
Akossika 1 R2 001,8,1509.020,188.627,2.321
Akossika 1 R3 001,5,1466.484,293.297,2.255
Akossika 2 R1 001,8,1471.915,183.989,2.264
Akossika 2 R2 001,5,623.695,124.739,0.959
Akossika 2 R3 001,6,1006.193,167.699,1.547
Akossika 3 R1 001,2,2154.441,1077.220,3.313
Akossika 3 R2 001,2,2039.642,1019.821,3.137
Akossika 3 R3 001,2,2279.693,1139.847,3.506
Asan 1 R1 001,7,1781.906,254.558,2.740
Asan 1 R2 001,6,271.528,45.255,0.418
Asan 1 R3a 001,9,1834.618,203.846,2.821
Asan 1 R3b 001,12,789.684,65.807,1.214
Asan 2 R1 001,6,1141.998,190.333,1.756
Asan 2 R2 001,4,1630.755,407.689,2.508
Asan 2 R3a 001,10,1304.568,130.457,2.006
Asan 2 R3b 001,7,1375.440,196.491,2.115
Asan 3 R1 001,11,1008.091,91.645,1.550
Asan 3 R2 001,9,1580.939,175.660,2.431
Asan 3 R3 001,11,3298.140,299.831,5.072
Baimbrou 1 R1 001,9,1254.048,139.339,1.929
Baimbrou 1 R2 001,7,684.342,97.763,1.052
Baimbrou 1 R3 001,7,570.525,81.504,0.877
Baimbrou 2 R1 001,3,1498.778,499.593,2.305
Baimbrou 2 R2 001,5,1488.030,297.606,2.288
Baimbrou 2 R3 001,6,1064.468,177.411,1.637
Baimbrou 3 R1 001,3,2189.042,729.681,3.366
Baimbrou 3 R2 001,4,1095.895,273.974,1.685
Baimbrou 3 R3 001,4,2034.358,508.589,3.129
Balie 1 R1 001,5,2023.462,404.692,3.112
Balie 1 R2 001,2,1816.049,908.025,2.793
Balie 1 R3 001,8,1683.876,210.485,2.590
Balie 2 R1 001,6,3152.863,525.477,4.849
Balie 2 R2 001,14,1167.536,83.395,1.796
Balie 2 R3 001,4,2660.965,665.241,4.092
Balie 3 R1 001,6,398.482,66.414,0.613
Balie 3 R2 001,6,467.047,77.841,0.718
Balie 3 R3 001,6,1369.943,228.324,2.107
Banaye heudeloti 1 R1 001,5,976.434,195.287,1.502
Banaye heudeloti 1 R2 001,10,1943.756,194.376,2.989
Banaye heudeloti 1 R3 001,8,973.686,121.711,1.497
Banaye heudeloti 2 R1 001,11,2295.661,208.696,3.530
Banaye heudeloti 2 R2 001,9,1070.914,118.990,1.647
Banaye heudeloti 2 R3 001,12,1684.007,140.334,2.590
Banaye heudeloti 3 R1 001,12,1380.757,115.063,2.123
Banaye heudeloti 3 R2 001,9,737.954,81.995,1.135
Banaye heudeloti 3 R3 001,9,459.816,51.091,0.707
Bosse 1 R1 001,11,1197.213,108.838,1.841
Bosse 1 R2 001,14,3048.289,217.735,4.688
Bosse 1 R3 001,17,1544.096,90.829,2.375
Bosse 2 R1 001,9,1254.326,139.370,1.929
Bosse 2 R2 001,5,1667.860,333.572,2.565
Bosse 2 R3 001,5,2304.643,460.929,3.544
Bosse 3 R1 001,7,2032.018,290.288,3.125
Bosse 3 R2 001,6,1292.216,215.369,1.987
Bosse 3 R3 001,6,1026.889,171.148,1.579
Dede 1 R1 001,6,2111.823,351.970,3.248
Dede 1 R2 001,6,1175.667,195.945,1.808
Dede 1 R3 001,15,2627.443,175.163,4.041
Dede 2 R1 001,3,634.329,211.443,0.976
Dede 2 R2 001,4,346.964,86.741,0.534
Dede 2 R3 001,3,1262.523,420.841,1.942
Dede 3 R1 001,7,965.915,137.988,1.485
Dede 3 R2 001,8,2571.115,321.389,3.954
Dede 3 R3 001,4,2231.219,557.805,3.431
Difou 1 R1 001,10,1696.523,169.652,2.609
Difou 1 R2 001,4,641.527,160.382,0.987
Difou 1 R3 001,4,902.650,225.663,1.388
Difou 2 R1 001,21,1343.914,63.996,2.067
Difou 2 R2 001,6,1296.372,216.062,1.994
Difou 2 R3 001,21,4330.477,206.213,6.660
Difou 3 R1 001,6,1388.103,231.350,2.135
Difou 3 R2 001,4,811.525,202.881,1.248
Difou 3 R3 001,6,882.658,147.110,1.357
Dounbourou 1 R1 001,8,904.123,113.015,1.390
Dounbourou 1 R2 001,12,1729.341,144.112,2.660
Dounbourou 1 R3 001,9,1905.882,211.765,2.931
Dounbourou 2 R1 001,9,2772.868,308.096,4.264
Dounbourou 2 R2 001,8,897.579,112.197,1.380
Dounbourou 2 R3 001,8,1262.915,157.864,1.942
Dounbourou 3 R1 001,8,5027.989,628.499,7.732
Dounbourou 3 R2 001,5,5290.846,1058.169,8.137
Dounbourou 3 R3 001,7,2219.554,317.079,3.413
Eho 1 R1 001,5,3241.895,648.379,4.986
Eho 1 R2 001,1,498.917,498.917,0.767
Eho 1 R3 001,2,1707.991,853.996,2.627
Eho 2 R1 001,5,724.522,144.904,1.114
Eho 2 R2 001,7,3571.321,510.189,5.492
Eho 2 R3 001,4,2029.843,507.461,3.122
Eho 3 R1a 001,1,2083.896,2083.896,3.205
Eho 3 R1b 001,4,693.798,173.449,1.067
Eho 3 R2 001,5,2483.965,496.793,3.820
Eho 3 R3 001,7,2571.688,367.384,3.955
Emien 1 R1a 001,15,955.444,63.696,1.469
Emien 1 R1b 001,7,2973.867,424.838,4.573
Emien 1 R1c 001,2,2064.084,1032.042,3.174
Emien 1 R2 001,7,1905.670,272.239,2.931
Emien 1 R3 001,9,2916.346,324.038,4.485
Emien 2 R1 001,7,3810.685,544.384,5.860
Emien 2 R2a 001,9,5217.700,579.744,8.024
Emien 2 R2b 001,10,4595.036,459.504,7.067
Emien 2 R3 001,3,1548.938,516.313,2.382
Emien 3 R1 001,16,1752.229,109.514,2.695
Emien 3 R2 001,9,1645.446,182.827,2.530
Emien 3 R3 001,14,2559.663,182.833,3.936
Fara 1 R1 001,4,1052.427,263.107,1.619
Fara 1 R2 001,6,1390.033,231.672,2.138
Fara 1 R3 001,5,868.818,173.764,1.336
Fara 2 R1 001,6,612.161,102.027,0.941
Fara 2 R2 001,6,844.327,140.721,1.298
Fara 2 R3 001,8,584.038,73.005,0.898
Fara 3 R1 001,5,337.328,67.466,0.519
Fara 3 R2 001,6,548.144,91.357,0.843
Fara 3 R3 001,6,550.516,91.753,0.847
Gaouo 1 R1 001,5,808.449,161.690,1.243
Gaouo 1 R2 001,7,1566.853,223.836,2.410
Gaouo 1 R3 001,4,1098.022,274.506,1.689
Gaouo 2 R1 001,8,653.863,81.733,1.006
Gaouo 2 R2 001,10,284.763,28.476,0.438
Gaouo 2 R3 001,7,569.723,81.389,0.876
Gaouo 3 R1 001,4,1519.163,379.791,2.336
Gaouo 3 R2 001,3,1662.870,554.290,2.557
Gaouo 3 R3 001,7,1346.924,192.418,2.071
Gaouo 4 R1 001,10,1361.305,136.130,2.094
Gaouo 4 R2 001,7,561.886,80.269,0.864
Gaouo 4 R3 001,4,627.539,156.885,0.965
Iroko 1 R1a 001,10,2674.904,267.490,4.114
Iroko 1 R1b 001,12,3172.201,264.350,4.878
Iroko 1 R2 001,11,910.781,82.798,1.401
Iroko 1 R3 001,11,2508.767,228.070,3.858
Iroko 2 R1 001,4,1044.099,261.025,1.606
Iroko 2 R2 001,4,798.928,199.732,1.229
Iroko 2 R3 001,5,1274.793,254.959,1.960
Iroko 3 R1 001,4,607.580,151.895,0.934
Iroko 3 R2 001,5,702.779,140.556,1.081
Iroko 3 R3 001,3,663.646,221.215,1.021
Kamaia 1 R1 001,21,641.740,30.559,0.987
Kamaia 1 R2 001,6,364.715,60.786,0.561
Kamaia 1 R3 001,7,634.263,90.609,0.975
Kamaia 2 R1 001,12,978.790,81.566,1.505
Kamaia 2 R2 001,3,222.235,74.078,0.342
Kamaia 2 R3 001,8,394.163,49.270,0.606
Kamaia 3 R1 001,9,541.224,60.136,0.832
Kamaia 3 R2 001,7,576.970,82.424,0.887
Kamaia 3 R3 001,9,3424.309,380.479,5.266
Kekele 1 R1a 001,10,6191.140,619.114,9.521
Kekele 1 R1b 001,17,2045.646,120.332,3.146
Kekele 1 R2 001,6,1592.963,265.494,2.450
Kekele 1 R3 001,2,1879.330,939.665,2.890
Kekele 2 R1 001,11,3666.324,333.302,5.638
Kekele 2 R2 001,9,2956.886,328.543,4.547
Kekele 2 R3 001,10,3516.220,351.622,5.408
Kekele 3 R1 001,11,1160.567,105.506,1.785
Kekele 3 R2 001,9,1147.004,127.445,1.764
Kekele 3 R3 001,15,1227.938,81.863,1.888
Kekemi 1 R1 001,12,1607.704,133.975,2.472
Kekemi 1 R2 001,5,2377.641,475.528,3.657
Kekemi 1 R3 001,21,3034.874,144.518,4.667
Kekemi 2 R1 001,5,2173.991,434.798,3.343
Kekemi 2 R2 001,5,1424.422,284.884,2.191
Kekemi 2 R3 001,4,858.396,214.599,1.320
Kekemi 3 R1 001,4,419.341,104.835,0.645
Kekemi 3 R2 001,3,498.393,166.131,0.766
Kekemi 3 R3 001,3,465.951,155.317,0.717
Movingui 1 R1 001,12,1308.609,109.051,2.012
Movingui 1 R2 001,3,529.199,176.400,0.814
Movingui 1 R3 001,4,1701.627,425.407,2.617
Movingui 2 R1 001,5,1749.300,349.860,2.690
Movingui 2 R2 001,7,1714.208,244.887,2.636
Movingui 2 R3 001,7,2645.881,377.983,4.069
Movingui 3 R1 001,6,737.365,122.894,1.134
Movingui 3 R2 001,3,1918.005,639.335,2.950
Movingui 3 R3 001,2,927.894,463.947,1.427
Oba 1 R1 001,4,639.024,159.756,0.983
Oba 1 R2 001,5,445.108,89.022,0.685
Oba 1 R3 001,4,454.564,113.641,0.699
Oba 2 R1 001,4,134.725,33.681,0.207
Oba 2 R2 001,7,380.666,54.381,0.585
Oba 2 R3 001,4,2506.542,626.636,3.855
Oba 3 R1 001,13,1793.391,137.953,2.758
Oba 3 R2 001,8,517.485,64.686,0.796
Oba 3 R3 001,8,643.752,80.469,0.990
Okoue nitida 1 R1 001,9,227.160,25.240,0.349
Okoue nitida 1 R2 001,9,443.947,49.327,0.683
Okoue nitida 1 R3 001,9,576.594,64.066,0.887
Okoue nitida 2 R1 001,5,688.857,137.771,1.059
Okoue nitida 2 R2 001,12,435.260,36.272,0.669
Okoue nitida 2 R3 001,7,1055.682,150.812,1.624
Okoue nitida 3 R1 001,3,354.523,118.174,0.545
Okoue nitida 3 R2 001,10,1222.048,122.205,1.879
Okoue nitida 3 R3 001,9,524.307,58.256,0.806
Ouindo 1 R1 001,17,651.572,38.328,1.002
Ouindo 1 R2 001,7,1775.133,253.590,2.730
Ouindo 1 R3 001,6,337.246,56.208,0.519
Ouindo 2 R1 001,7,659.785,94.255,1.015
Ouindo 2 R2 001,5,1308.396,261.679,2.012
Ouindo 2 R3 001,5,823.648,164.730,1.267
Ouindo 3 R1 001,11,860.098,78.191,1.323
Ouindo 3 R2 001,8,641.462,80.183,0.986
Ouindo 3 R3 001,6,640.677,106.779,0.985
Pore pore 1 R1 001,7,2078.808,296.973,3.197
Pore pore 1 R2 001,10,1559.916,155.992,2.399
Pore pore 1 R3 001,10,859.100,85.910,1.321
Pore pore 2 R1 001,6,3878.939,646.490,5.965
Pore pore 2 R2 001,6,448.266,74.711,0.689
Pore pore 2 R3 001,6,2272.724,378.787,3.495
Pore pore 3 R1 001,8,900.393,112.549,1.385
Pore pore 3 R2 001,8,804.048,100.506,1.237
Pore pore 3 R3 001,12,3027.529,252.294,4.656
Pouo 1 R1 001,5,439.235,87.847,0.675
Pouo 1 R2 001,6,603.572,100.595,0.928
Pouo 1 R3 001,10,838.224,83.822,1.289
Pouo 2 R1 001,4,967.453,241.863,1.488
Pouo 2 R2 001,5,1299.709,259.942,1.999
Pouo 2 R3 001,5,804.424,160.885,1.237
Pouo 3 R1 001,10,746.314,74.631,1.148
Pouo 3 R2 001,5,364.846,72.969,0.561
Pouo 3 R3 001,7,674.885,96.412,1.038
Tuibesso 1 R1 001,4,352.592,88.148,0.542
Tuibesso 1 R2 001,16,340.044,21.253,0.523
Tuibesso 1 R3 001,6,235.029,39.171,0.361
Tuibesso 2 R1 001,8,340.437,42.555,0.524
Tuibesso 2 R2 001,9,199.200,22.133,0.306
Tuibesso 2 R3 001,8,382.760,47.845,0.589
Tuibesso 3 R1 001,15,231.282,15.419,0.356
Tuibesso 3 R2 001,5,267.553,53.511,0.411
Tuibesso 3 R3 001,7,259.863,37.123,0.400
Tulipier du Gabon 1 R1 001,13,366.335,28.180,0.563
Tulipier du Gabon 1 R2 001,13,999.289,76.868,1.537
Tulipier du Gabon 1 R3 001,11,628.586,57.144,0.967
Tulipier du Gabon 2 R1 001,5,1312.994,262.599,2.019
Tulipier du Gabon 2 R2 001,7,727.418,103.917,1.119
Tulipier du Gabon 2 R3 001,5,1053.686,210.737,1.620
Tulipier du Gabon 3 R1 001,6,529.739,88.290,0.815
Tulipier du Gabon 3 R2 001,6,1385.321,230.887,2.130
Tulipier du Gabon 3 R3 001,6,618.263,103.044,0.951
