Vernaculier;ID TRY;ScientificName;Family;Genus;Species;treeID;sampleID;RDMC ;RootAverageLenght ;RSL;WD;BarkTh;DBH;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness
Acajou blanc;;Khaya anthotheca ;Meliaceae;Khaya;anthotheca;A;1;437,828;4,994;0,011;0.4906364;0,54;135;28,8;0,27;1893,42;33,44;27510;822,79;2,301214;2;1,5
Acajou blanc;;Khaya anthotheca;Meliaceae;Khaya;anthotheca;A;2;454,89;5,215;0,011;0.4906364;0,5;135;25,7;0,27;938,19;18,75;12280;654,93;1,432501;2;1,5
Acajou blanc;;Khaya anthotheca;Meliaceae;Khaya;anthotheca;A;3;476,611;3,647;0,008;0.4906364;0,52;135;32,5;0,24;814,9;12,14;8570;705,93;1,154366;2;1,5
Acajou blanc;;Khaya anthotheca;Meliaceae;Khaya;anthotheca;B;1;489,784;2,591;0,005;0.4906364;0,61;110;16,6;0,25;587,02;8,78;6610;752,85;0,779726;2;1,5
Acajou blanc;;Khaya anthotheca;Meliaceae;Khaya;anthotheca;B;2;487,635;3,43;0,007;0.4906364;0,78;110;24,1;0,24;1343,84;18,51;12720;687,38;1,955018;2;1,5
Acajou blanc;;Khaya anthotheca;Meliaceae;Khaya;anthotheca;B;3;458,225;2,55;0,006;0.4906364;0,7;110;21,3;0,23;1062,35;15,84;11130;702,87;1,511442;2;1,5
Acajou blanc;;Khaya anthotheca;Meliaceae;Khaya;anthotheca;C;1;441,86;3,231;0,007;0.4906364;0,54;230;12,8;0,26;542,73;8,86;6325;713,88;0,760252;2;1,5
Acajou blanc;;Khaya anthotheca;Meliaceae;Khaya;anthotheca;C;2;389,831;3,707;0,01;0.4906364;0,56;230;14,7;0,29;804,05;13,41;8495;633,72;1,268777;2;1,5
Acajou blanc;;Khaya anthotheca;Meliaceae;Khaya;anthotheca;C;3;250;5,534;0,022;0.4906364;0,53;230;13,9;0,28;1129,11;20,36;10530;517,19;2,183151;2;1,5
Ako;;Antiaris africana;Moraceae;Antiaris;africana;A;1;332,971;3,203;0,01;0.3815263;2,2;1007;0,9;0,53;63,18;1,16;860;740,42;0,085334;3;1
Ako;;Antiaris africana;Moraceae;Antiaris;africana;A;2;361,446;3,089;0,009;0.3815263;1,9;1007;0,4;0,63;71,45;1,45;1060;732,5;0,097537;3;1
Ako;;Antiaris africana;Moraceae;Antiaris;africana;A;3;404,04;2,428;0,006;0.3815263;1,8;1007;0,8;0,49;70,78;1,38;1020;741,82;0,095407;3;1
Ako;;Antiaris africana;Moraceae;Antiaris;africana;B;1;218,598;2,657;0,012;0.3815263;1;248;1,4;0,59;124,82;2,77;1084,3;391,93;0,318486;3;1
Ako;;Antiaris africana;Moraceae;Antiaris;africana;B;2;276,283;3,02;0,011;0.3815263;0,83;248;0,7;0,55;50,41;1,54;632;409,5;0,123091;3;1
Ako;;Antiaris africana;Moraceae;Antiaris;africana;B;3;278,481;2,816;0,01;0.3815263;0,9;248;0,8;0,49;38,58;1,14;418,7;366,18;0,105362;3;1
Ako;;Antiaris africana;Moraceae;Antiaris;africana;C;1;346,996;3,892;0,011;0.3815263;1,21;429;0,8;0,53;62,5;1,39;579,8;418,59;0,149309;3;1
Ako;;Antiaris africana;Moraceae;Antiaris;africana;C;2;291,545;3,168;0,011;0.3815263;1,67;429;0,8;0,55;77,09;1,76;667,5;380,34;0,202674;3;1
Ako;;Antiaris africana;Moraceae;Antiaris;africana;C;3;370,37;3,15;0,009;0.3815263;1,6;429;0,9;0,57;51,3;1,32;557,3;422,96;0,121299;3;1
Asamoiake;;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;A;1;230,769;2,068;0,009;0.6630000;0,67;357;7,1;0,25;153,13;3,13;1336;427,11;0,358519;3;2
Asamoiake;;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;A;2;327,586;2,683;0,008;0.6630000;0,65;357;6,3;0,25;127,94;2,51;1040;414,67;0,308525;3;2
Asamoiake;;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;A;3;275,362;3,098;0,011;0.6630000;0,56;357;6,8;0,24;162,03;3,17;1340;422,98;0,383057;3;2
Asamoiake;;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;B;1;235,294;1,708;0,007;0.6630000;0,39;190;7,5;0,23;176,64;3,01;1132;375,83;0,470003;3;2
Asamoiake;;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;B;2;244,898;2,469;0,01;0.6630000;0,39;190;5,1;0,21;143,87;2,74;1174;428,15;0,336014;3;2
Asamoiake;;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;B;3;277,778;3,293;0,012;0.6630000;0,41;190;6,2;0,23;126,74;2,06;827,5;401,21;0,315904;3;2
Asamoiake;;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;C;1;250;2,882;0,012;0.6630000;0,38;224;4,3;0,21;117,43;1,81;606;335,55;0,349977;3;2
Asamoiake;;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;C;2;263,158;1,77;0,007;0.6630000;0,54;224;5,7;0,24;232,34;4,35;1655;380,46;0,610695;3;2
Asamoiake;;Trichilia prieuriana;Meliaceae;Trichilia;prieuriana;C;3;300;3,888;0,013;0.6630000;0,46;224;5,9;0,24;219,87;3,33;1607,5;483,31;0,454932;3;2
Ba;;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;A;1;402,414;3,25;0,008;0.6175714;0,34;205;1;0,28;37,62;0,39;277,1;708,08;0,053128;3;1,5
Ba;;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;A;2;396,855;4,108;0,01;0.6175714;0,39;205;0,8;0,28;24,34;0,27;170;625,46;0,038912;3;1,5
Ba;;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;A;3;368,732;3,843;0,01;0.6175714;0,32;205;1;0,28;32,5;0,38;261,4;694,31;0,046813;3;1,5
Ba;;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;B;1;421,83;3,245;0,008;0.6175714;0,3;140;0,8;0,27;59,07;0,93;394,4;422,19;0,139906;3;1,5
Ba;;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;B;2;459,459;2,29;0,005;0.6175714;0,35;140;0,9;0,26;89,82;1,26;391,3;311,71;0,288156;3;1,5
Ba;;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;B;3;468,683;2,886;0,006;0.6175714;0,28;140;0,9;0,27;77,44;1,26;415,7;329,8;0,234814;3;1,5
Ba;;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;C;1;387,097;3,082;0,008;0.6175714;0,57;155;1,2;0,21;87,96;1,1;310;283,11;0,310694;3;1,5
Ba;;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;C;2;372,093;1,883;0,005;0.6175714;0,45;155;1,1;0,26;75,26;1,42;513,3;362,78;0,207464;3;1,5
Ba;;Celtis mildbraedii;Ulmaceae;Celtis;mildbraedii;C;3;377,778;3,172;0,008;0.6175714;0,5;155;0,6;0,27;33,32;0,59;196,7;332,39;0,100243;3;1,5
Bete;;Mansonia altissima;Sterculiaceae;Mansonia;altissima;A;2;348,086;2,493;0,007;0.5644583;1,24;250;3;0,44;390,39;4,46;2960;663,68;0,588215;2;2
Bete;;Mansonia altissima;Sterculiaceae;Mansonia;altissima;A;3;452,148;0,827;0,002;0.5644583;0,7;250;1,9;0,42;235,41;3,2;1850;578,13;0,407203;2;2
Bete;;Mansonia altissima;Sterculiaceae;Mansonia;altissima;B;1;471,73;2,169;0,005;0.5644583;1,26;213;4;0,42;400,7;4,7;3030;644,68;0,621546;2;2
Bete;;Mansonia altissima;Sterculiaceae;Mansonia;altissima;B;2;451,926;3,131;0,007;0.5644583;1,2;213;1,8;0,4;166,48;2,8;1430;510,71;0,325977;2;2
Bete;;Mansonia altissima;Sterculiaceae;Mansonia;altissima;B;3;537,201;1,812;0,003;0.5644583;1,28;213;4,3;0,5;262,35;3,11;1790;575,56;0,455813;2;2
Bete;;Mansonia altissima;Sterculiaceae;Mansonia;altissima;C;1;406,056;5,942;0,015;0.5644583;1,52;217;2,7;0,42;364,89;3,92;2490;635,2;0,574442;2;2
Bete;;Mansonia altissima;Sterculiaceae;Mansonia;altissima;C;2;550,863;2,331;0,004;0.5644583;1,37;217;5,5;0,4;528,45;4,5;2890;642,22;0,822844;2;2
Bete;;Mansonia altissima;Sterculiaceae;Mansonia;altissima;C;3;632,366;4,769;0,008;0.5644583;1,55;217;4;0,38;486,58;4,3;3050;709,3;0,685995;2;2
Bete;;Mansonia altissima;Sterculiaceae;Mansonia;altissima;A;1;381,443;4,409;0,012;0.5644583;1,55;250;1,6;0,44;242,55;2,7;1730;640,74;0,378552;2;2
Bi ou Eyong;;Eribroma obloga;Sterculiaceae;Eribroma;obloga;A;1;210,526;3,203;0,015;0.6384545;1,14;198;1,6;0,42;40,93;1,05;346;330,78;0,123733;3;1
Bi ou Eyong;;Eribroma obloga;Sterculiaceae;Eribroma;obloga;A;2;192,308;1,861;0,01;0.6384545;1,24;198;3,7;0,42;71,28;1,56;536,7;343,28;0,207649;3;1
Bi ou Eyong;;Eribroma obloga;Sterculiaceae;Eribroma;obloga;A;3;379,31;0,827;0,002;0.6384545;0,92;198;2,9;0,42;59,78;1,84;611,4;332,04;0,180033;3;1
Bi ou Eyong;;Eribroma obloga;Sterculiaceae;Eribroma;obloga;B;1;434,783;1,838;0,004;0.6384545;0,8;182;2,5;0,2;53,22;0,86;220;256,41;0,20756;3;1
Bi ou Eyong;;Eribroma obloga;Sterculiaceae;Eribroma;obloga;B;2;317,757;2,089;0,007;0.6384545;1;182;2;0,23;29,31;0,49;226;465,02;0,063025;3;1
Bi ou Eyong;;Eribroma obloga;Sterculiaceae;Eribroma;obloga;B;3;273,504;3,416;0,012;0.6384545;1,15;182;2,4;0,21;44,36;0,73;330;452,05;0,09814;3;1
Bi ou Eyong;;Eribroma obloga;Sterculiaceae;Eribroma;obloga;C;1;228,261;1,301;0,006;0.6384545;0,76;201;2,5;0,26;42,7;1;480;480;0,088948;3;1
Bi ou Eyong;;Eribroma obloga;Sterculiaceae;Eribroma;obloga;C;2;282,353;1,974;0,007;0.6384545;0,89;201;2,1;0,26;41,07;0,9;447,5;500;0,082138;3;1
Bi ou Eyong;;Eribroma obloga;Sterculiaceae;Eribroma;obloga;C;3;261,905;1,744;0,007;0.6384545;1,01;201;2,9;0,24;61,11;1,25;620;494,42;0,123596;3;1
Cedrela;44958;Cedrela odorata;Meliaceae;Cedrela;odorata;A;1;252,874;2,668;0,011;0.4468571;1,82;392;12,2;0,21;800,84;13,45;5608;416,95;1,920704;2;1
Cedrela;;Cedrela odorata;Meliaceae;Cedrela;odorata;A;2;218,182;3,329;0,015;0.4468571;1,64;392;11,7;0,25;491,01;8,47;3136;370,25;1,326156;2;1
Cedrela;;Cedrela odorata;Meliaceae;Cedrela;odorata;A;3;231,293;3,54;0,015;0.4468571;1,52;392;6;0,22;239,64;4,74;2048;431,89;0,554866;2;1
Cedrela;;Cedrela odorata;Meliaceae;Cedrela;odorata;B;1;253,731;4,097;0,016;0.4468571;2,15;417;10;0,24;532,65;7,99;3516;440,05;1,210432;2;1
Cedrela;;Cedrela odorata;Meliaceae;Cedrela;odorata;B;2;241,573;4,962;0,021;0.4468571;1,75;417;8,6;0,22;330,9;6,75;2444;361,97;0,914183;2;1
Cedrela;;Cedrela odorata;Meliaceae;Cedrela;odorata;B;3;239,437;3,084;0,013;0.4468571;1,38;417;9,1;0,23;462,69;8,77;3484;397,08;1,165226;2;1
Cedrela;;Cedrela odorata;Meliaceae;Cedrela;odorata;C;1;250;1,432;0,006;0.4468571;2,24;230;7,7;0,24;260,45;5,46;2128;389,46;0,668739;2;1
Cedrela;;Cedrela odorata;Meliaceae;Cedrela;odorata;C;2;220,183;3,434;0,016;0.4468571;2,09;230;7,9;0,24;491,54;11,09;4170;376,01;1,307245;2;1
Cedrela;;Cedrela odorata;Meliaceae;Cedrela;odorata;C;3;250;1,95;0,008;0.4468571;2,25;230;6,7;0,25;273,68;6,09;2662,5;437,37;0,625729;2;1
Frake / Limba;53769;Terminalia superba;Combretaceae;Terminalia;superba;A;1;431,916;3,327;0,008;0.4589483;0,76;720;2,3;0,29;29,11;0,33;266,7;800;0,036385;2;1
Frake / Limba;;Terminalia superba;Combretaceae;Terminalia;superba;A;2;486,957;3,262;0,007;0.4589483;0,84;720;2,4;0,29;38,17;0,45;338;748,22;0,051011;2;1
Frake / Limba;;Terminalia superba;Combretaceae;Terminalia;superba;A;3;447,883;2,674;0,006;0.4589483;0,84;720;2,9;0,29;45,57;0,49;374;764,61;0,059604;2;1
Frake / Limba;;Terminalia superba;Combretaceae;Terminalia;superba;B;1;285,714;1,36;0,005;0.4589483;0,76;500;3,8;0,31;39,01;0,85;354;418,44;0,093224;2;1
Frake / Limba;;Terminalia superba;Combretaceae;Terminalia;superba;B;2;250;2,948;0,012;0.4589483;1;500;4;0,36;58,03;1,31;580;441,4;0,131462;2;1
Frake / Limba;;Terminalia superba;Combretaceae;Terminalia;superba;B;3;218,75;2,655;0,012;0.4589483;0,91;500;3,5;0,32;40,67;0,83;354;426,51;0,095345;2;1
Frake / Limba;;Terminalia superba;Combretaceae;Terminalia;superba;C;1;413,881;4,354;0,011;0.4589483;0,6;175;1;0,35;52,1;1,4;508,8;364,3;0,143003;2;1
Frake / Limba;;Terminalia superba;Combretaceae;Terminalia;superba;C;2;474,289;5,551;0,012;0.4589483;0,6;175;1,2;0,32;53,69;1,24;521,3;419,01;0,128142;2;1
Frake / Limba;;Terminalia superba;Combretaceae;Terminalia;superba;C;3;418,605;3,258;0,008;0.4589483;0,52;175;1,1;0,33;55,02;1,32;548,8;415,64;0,132365;2;1
Fromager;203745;Ceiba pentadra;Bombacaceae;Ceiba;pentadra;A;2;264,831;1,807;0,007;0.3568212;2,5;1050;8,7;0,23;127,32;2,8;1272,9;454,92;0,279879;2;1
Fromager;;Ceiba pentadra;Bombacaceae;Ceiba;pentadra;A;3;678,461;3,758;0,006;0.3568212;2,3;1050;7,7;0,23;92,6;2,08;1028,6;495,28;0,186969;2;1
Fromager;;Ceiba pentadra;Bombacaceae;Ceiba;pentadra;B;1;744,823;2,79;0,004;0.3568212;2,2;861;13,8;0,21;208,25;2,6;1830;703,85;0,295879;2;1
Fromager;;Ceiba pentadra;Bombacaceae;Ceiba;pentadra;B;2;779,302;3,633;0,005;0.3568212;1,81;861;13,5;0,21;180,62;2,52;1720;682,54;0,264622;2;1
Fromager;;Ceiba pentadra;Bombacaceae;Ceiba;pentadra;B;3;522,618;3,875;0,007;0.3568212;2,4;861;14,3;0,22;339,17;4,3;3170;737,21;0,460078;2;1
Fromager;;Ceiba pentadra;Bombacaceae;Ceiba;pentadra;C;1;233,957;2,388;0,01;0.3568212;2,1;1023;10,5;0,24;183,24;4,02;1691,4;420,6;0,435675;2;1
Fromager;;Ceiba pentadra;Bombacaceae;Ceiba;pentadra;C;2;273,224;1,953;0,007;0.3568212;1,72;1023;9,7;0,23;174,19;4,2;1851,4;440,66;0,395299;2;1
Fromager;;Ceiba pentadra;Bombacaceae;Ceiba;pentadra;C;3;263,231;1,632;0,006;0.3568212;1,6;1023;13,7;0,23;231,34;5,2;2144,3;412,6;0,560684;2;1
Fromager;;Ceiba pentadra;Bombacaceae;Ceiba;pentadra;A;1;804,875;1,528;0,002;0.3568212;2,3;1050;12,1;0,21;156,87;3,16;1291,4;408,22;0,38429;2;1
Kaka;13857;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;A;1;456,522;1,606;0,004;0.7857500;1,55;900;1,7;0,34;180,78;4,03;1868;463,75;0,389823;3;2
Kaka;;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;A;2;451,613;2,197;0,005;0.7857500;1,35;900;2;0,36;417,07;8,81;4536;515,1;0,809681;3;2
Kaka;;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;A;3;500;2,223;0,004;0.7857500;1,63;900;1,6;0,35;288,01;6,33;3145;496,84;0,579677;3;2
Kaka;;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;B;1;493,827;1,967;0,004;0.7857500;0,9;402;3,1;0,29;130,59;2,32;1042,5;449,84;0,290309;3;2
Kaka;;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;B;2;592,593;1,82;0,003;0.7857500;0,82;402;2;0,3;54,06;1,02;455;448,28;0,120597;3;2
Kaka;;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;B;3;529,412;1,402;0,003;0.7857500;0,65;402;2,4;0,31;73,03;1,38;612,5;445,45;0,163934;3;2
Kaka;;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;C;1;300;3,645;0,012;0.7857500;0,77;113;;0,34;272,57;5,15;2440;473,79;0,575291;3;2
Kaka;;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;C;2;211,538;1,253;0,006;0.7857500;0,8;113;;0,34;321,95;6,04;2660;440,4;0,73104;3;2
Kaka;;Blighia welwitschii;Sapindaceae;Blighia;welwitschii;C;3;333,333;2,201;0,007;0.7857500;0,7;113;;0,36;267,29;5,06;2240;442,69;0,603796;3;2
Koace Noliba;31756;Pachystela brevipes;Sapotaceae;Pachystela;brevipes;A;1;358,974;1,775;0,005;0.4763896;0,34;112;6,8;0,26;247,69;3,88;1514;390,41;0,634443;3;2
